DATE,PR,USER,TITLE,EMPLOYEE
2023-08-10T07:18:51Z,https://github.com/hashicorp/terraform/pull/33656,lyu571,backend/cos: Support endpoint,N
2023-08-09T13:50:07Z,https://github.com/hashicorp/terraform/pull/33653,liamcervante,Update JSON_UI_VERSION after test framework changes,Y
2023-08-09T13:23:32Z,https://github.com/hashicorp/terraform/pull/33652,liamcervante,Fix root cause of race condition in testing framework tests,Y
2023-08-09T09:19:26Z,https://github.com/hashicorp/terraform/pull/33650,teamterraform,Backport of Make config errors more important during init operations into v1.5,Y
2023-08-08T16:12:03Z,https://github.com/hashicorp/terraform/pull/33648,abuxton,Update sources.mdx,Y
2023-08-08T13:37:35Z,https://github.com/hashicorp/terraform/pull/33647,kmoe,build with Go 1.20.7,Y
2023-08-08T13:35:28Z,https://github.com/hashicorp/terraform/pull/33646,teamterraform,Backport of build with Go 1.20.7 into v1.5,Y
2023-08-08T08:02:11Z,https://github.com/hashicorp/terraform/pull/33645,kmoe,build with Go 1.20.7,Y
2023-08-07T13:20:14Z,https://github.com/hashicorp/terraform/pull/33643,liamcervante,Implement updates to testing framework based on recent feedback,Y
2023-08-05T02:02:30Z,https://github.com/hashicorp/terraform/pull/33635,cadamini,Improve syntax docs,N
2023-08-04T14:32:52Z,https://github.com/hashicorp/terraform/pull/33634,jbardin,Allow `get` and `init -from-module` to complete when there are configuration validation errors,Y
2023-08-04T00:55:06Z,https://github.com/hashicorp/terraform/pull/33631,gdavison,backend/s3: Updates `aws-sdk-go-base` to `v2`,Y
2023-08-04T00:49:35Z,https://github.com/hashicorp/terraform/pull/33630,gdavison,backend/s3: Adds nested attribute for `assume_role`,Y
2023-08-03T17:04:10Z,https://github.com/hashicorp/terraform/pull/33629,zachsdd,Add CIDR collapse functionality,N
2023-08-03T08:08:12Z,https://github.com/hashicorp/terraform/pull/33628,liamcervante,Make config errors more important during init operations,Y
2023-08-02T19:37:23Z,https://github.com/hashicorp/terraform/pull/33625,gdavison,backend/s3: Adds nested attribute for `assume_role`,Y
2023-08-02T11:50:00Z,https://github.com/hashicorp/terraform/pull/33623,liamcervante,cleanup after 1.6.0-alpha20230802 release,Y
2023-08-02T09:39:02Z,https://github.com/hashicorp/terraform/pull/33621,liamcervante,Prepare for the 1.6.0-alpha20230208 release,Y
2023-08-01T13:14:29Z,https://github.com/hashicorp/terraform/pull/33618,kmoe,allow interpolation in import block id,Y
2023-08-01T08:38:44Z,https://github.com/hashicorp/terraform/pull/33616,liamcervante,Fix race condition in no_providers_in_main test,Y
86,8,9.30%,,
2023-07-31T17:59:45Z,https://github.com/hashicorp/terraform/pull/33614,teamterraform,Backport of Update tostring.mdx for null value conversion into v1.5,Y
2023-07-31T12:09:20Z,https://github.com/hashicorp/terraform/pull/33611,liamcervante,test framework: expand variables available to test assertions,Y
2023-07-31T10:10:25Z,https://github.com/hashicorp/terraform/pull/33608,liamcervante,test framework: include transformed config before validating config,Y
2023-07-31T08:30:25Z,https://github.com/hashicorp/terraform/pull/33607,jBouyoud,fix: bump aws-sdk-go from 1.44.122 to 1.44.298,N
2023-07-28T22:11:14Z,https://github.com/hashicorp/terraform/pull/33604,crw,Update tostring.mdx for null value conversion,Y
2023-07-28T19:20:15Z,https://github.com/hashicorp/terraform/pull/33602,brandonc,Download and authenticate the cloudplugin,Y
2023-07-28T08:13:57Z,https://github.com/hashicorp/terraform/pull/33601,liamcervante,test framework: fix remaining assertions being checked after one has failed,Y
2023-07-27T01:08:40Z,https://github.com/hashicorp/terraform/pull/33592,radditude,update go-getter to v1.7.2,Y
2023-07-26T15:36:21Z,https://github.com/hashicorp/terraform/pull/33590,brandonc,Create provisional configuration version when saving plan using cloud backend,Y
2023-07-26T15:27:16Z,https://github.com/hashicorp/terraform/pull/33589,liamcervante,terraform test: fix crash when using nested modules from test run blocks,Y
2023-07-26T13:00:32Z,https://github.com/hashicorp/terraform/pull/33587,sebasslash,Add changelog entry for saved cloud plans,Y
2023-07-26T09:52:41Z,https://github.com/hashicorp/terraform/pull/33584,liamcervante,testing framework: allow users to specify deeply nested testing directories,Y
2023-07-26T07:41:17Z,https://github.com/hashicorp/terraform/pull/33583,teamterraform,Backport of Fix crash when nested data blocks are mixed with the import command into v1.5,Y
2023-07-26T06:18:44Z,https://github.com/hashicorp/terraform/pull/33581,hongshaoyang,website: doc: Add another example to `~>` operator,N
2023-07-25T22:12:03Z,https://github.com/hashicorp/terraform/pull/33580,teamterraform,Backport of docs: create_before_destroy meta-attribute propagation into v1.5,Y
